Meetup Name,Location,Link,Members
Boulder Python,"Boulder, CO",https://www.meetup.com/BoulderPython/,1799
Denver Python Meetup,"Denver, CO",https://www.meetup.com/Denver-Python-Meetup/,1192
Front Range Pythoneers,"Denver, CO",https://www.meetup.com/frpythoneers/,1454
PyDEN,"Denver, CO",https://www.meetup.com/PyDENCO/,266
PyData Denver,"Denver, CO",https://www.meetup.com/PyData-Denver/,1510
Colorado Data Science,"Denver, CO",https://www.meetup.com/Colorado-Data-Science/,3726
DevOps Exchange DTC Meetup,"Englewood, CO",https://www.meetup.com/DevOps-Exchange-DTC-Meetup/,349
Boulder Women in Machine Learning & Data Science,"Boulder, CO",https://www.meetup.com/Boulder-Women-in-Machine-Learning-and-Data-Science/,546
